,departure,arrival,lat_d,lon_d,lat_a,lon_a,duration,CODE,PAIR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,PARIS,BORDEAUX-MERIGNAC,48.8588897,2.3200410217200766,44.8422361,-0.6469599,7380.0,FR_LF90_FR_LFBD,PARIS  - BORDEAUX-MERIGNAC ,0,0,0,0,"1,448,558","1,508,518","1,603,041","1,613,827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PARIS,LIMOGES-BELLEGARDE,48.8588897,2.3200410217200766,45.8610802,1.1750717,11610.0,FR_LF90_FR_LFBL,PARIS  - LIMOGES-BELLEGARDE ,0,0,0,0,0,0,"77,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARIS,TOULOUSE/BLAGNAC,48.8588897,2.3200410217200766,43.6434,1.37799,15120.0,FR_LF90_FR_LFBO,PARIS  - TOULOUSE/BLAGNAC ,0,0,0,0,"2,679,392","2,748,684","2,955,423","2,976,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PARIS,PAU-PYRENEES,48.8588897,2.3200410217200766,43.2957547,-0.3685668,15210.0,FR_LF90_FR_LFBP,PARIS  - PAU-PYRENEES ,0,0,0,0,"448,914","480,407","518,631","515,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PARIS,TARBES LOURDES PYRENEES,48.8588897,2.3200410217200766,43.36047345,0.1687257650647912,18480.0,FR_LF90_FR_LFBT,PARIS  - TARBES LOURDES PYRENEES ,0,0,0,0,"113,375","89,412","75,571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PARIS,BIARRITZ-BAYONNE-ANGLET,48.8588897,2.3200410217200766,43.471143749999996,-1.552726590666314,14640.0,FR_LF90_FR_LFBZ,PARIS  - BIARRITZ-BAYONNE-ANGLET ,0,0,0,0,"522,873","578,758","633,851","607,620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PARIS,RODEZ-MARCILLAC,48.8588897,2.3200410217200766,44.4744182,2.4650872,25500.0,FR_LF90_FR_LFCR,PARIS  - RODEZ-MARCILLAC ,0,0,0,0,0,0,"82,127","78,362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PARIS,METZ NANCY-LORRAINE,48.8588897,2.3200410217200766,48.978364850000006,6.2437694381861775,4980.0,FR_LF90_FR_LFJL,PARIS  - METZ NANCY-LORRAINE ,0,0,0,0,0,"80,434","88,607","91,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PARIS,BASTIA-PORETTA,48.8588897,2.3200410217200766,42.549824,9.4767165,,FR_LF90_FR_LFKB,PARIS  - BASTIA-PORETTA ,0,0,0,0,"244,088","269,577","286,558","307,368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PARIS,CALVI-SAINTE-CATHERINE,48.8588897,2.3200410217200766,42.52981585,8.792082286749043,,FR_LF90_FR_LFKC,PARIS  - CALVI-SAINTE-CATHERINE ,0,0,0,0,0,"100,843","117,810","113,537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PARIS,FIGARI-SUD-CORSE,48.8588897,2.3200410217200766,41.50326675,9.098326639079088,,FR_LF90_FR_LFKF,PARIS  - FIGARI-SUD-CORSE ,0,0,0,0,"95,746","119,299","131,962","127,070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PARIS,AJACCIO-NAPOLEON-BONAPARTE,48.8588897,2.3200410217200766,41.9215216,8.799913054381443,,FR_LF90_FR_LFKJ,PARIS  - AJACCIO-NAPOLEON-BONAPARTE ,0,0,0,0,"314,031","385,329","430,851","455,655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PARIS,CLERMONT-FERRAND-AUVERGNE,48.8588897,2.3200410217200766,45.7774551,3.0819427,12780.0,FR_LF90_FR_LFLC,PARIS  - CLERMONT-FERRAND-AUVERGNE ,0,0,0,0,"280,602","299,239","304,961","306,367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PARIS,LYON SAINT-EXUPERY,48.8588897,2.3200410217200766,45.7245365,5.086500755554235,6900.0,FR_LF90_FR_LFLL,PARIS  - LYON SAINT-EXUPERY ,0,0,0,0,"741,759","704,848","760,626","731,526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PARIS,ANNECY-MEYTHET,48.8588897,2.3200410217200766,45.919176750000005,6.095924491965651,13290.0,FR_LF90_FR_LFLP,PARIS  - ANNECY-MEYTHET ,0,0,0,0,0,0,"76,158","76,981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PARIS,GRENOBLE-ISERE,48.8588897,2.3200410217200766,45.1875602,5.7357819,10740.0,FR_LF90_FR_LFLS,PARIS  - GRENOBLE-ISERE ,0,0,0,0,"227,493","219,872","199,861","180,768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PARIS,MARSEILLE-PROVENCE,48.8588897,2.3200410217200766,43.3056731,5.444226820336164,10920.0,FR_LF90_FR_LFML,PARIS  - MARSEILLE-PROVENCE ,0,0,0,0,"2,742,010","2,721,346","2,928,110","2,976,793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PARIS,NICE-COTE D'AZUR,48.8588897,2.3200410217200766,44.0018032,7.253397341719173,20460.0,FR_LF90_FR_LFMN,PARIS  - NICE-COTE D'AZUR ,0,0,0,0,"3,049,173","3,118,030","3,256,326","3,396,020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PARIS,PERPIGNAN RIVESALTES,48.8588897,2.3200410217200766,42.77586555,2.878022996232068,17880.0,FR_LF90_FR_LFMP,PARIS  - PERPIGNAN RIVESALTES ,0,0,0,0,"394,594","448,200","475,894","466,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PARIS,MONTPELLIER MEDITERRANEE,48.8588897,2.3200410217200766,43.6112422,3.8767337,11520.0,FR_LF90_FR_LFMT,PARIS  - MONTPELLIER MEDITERRANEE ,0,0,0,0,"1,112,552","1,208,807","1,290,306","1,378,479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PARIS,BEZIERS-VIAS,48.8588897,2.3200410217200766,43.3107683,3.4201599,14700.0,FR_LF90_FR_LFMU,PARIS  - BEZIERS-VIAS ,0,0,0,0,0,"75,866","79,216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PARIS,AVIGNON-CAUMONT,48.8588897,2.3200410217200766,43.893915,4.9457232,9420.0,FR_LF90_FR_LFMV,PARIS  - AVIGNON-CAUMONT ,0,0,0,0,"117,587","117,160","127,760","121,765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PARIS,BREST-BRETAGNE,48.8588897,2.3200410217200766,48.3905283,-4.4860088,12390.0,FR_LF90_FR_LFRB,PARIS  - BREST-BRETAGNE ,0,0,0,0,"454,310","470,298","512,803","513,639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PARIS,LORIENT-LANN-BIHOUE,48.8588897,2.3200410217200766,47.779707,-3.4360436,10440.0,FR_LF90_FR_LFRH,PARIS  - LORIENT-LANN-BIHOUE ,0,0,0,0,"178,720","178,122","194,985","191,201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
