CODE,PAIR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FR_FMCZ_FR_FMEE,DZAOUDZI airport - SAINT DENIS GILLOT airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"156,572","171,637","153,838","151,566","166,984","167,983"
FR_FMCZ_FR_LFML,DZAOUDZI airport - MARSEILLE-PROVENCE airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMCZ_FR_LFPG,DZAOUDZI airport - PARIS-CHARLES DE GAULLE airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"29,077","75,795","75,771","100,204"
FR_FMCZ_FR_LFPO,DZAOUDZI airport - PARIS-ORLY airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"24,971","24,860","25,307","19,498",:,:
FR_FMCZ_KE_HKJK,DZAOUDZI airport - NAIROBI/JOMO KENYATTA INTL. TWR/APP/NOF/MET/CIVIL AIRLINES airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"15,549","15,138","15,948","18,137","20,822"
FR_FMCZ_KM_FMCH,DZAOUDZI airport - MORONI/PRINCE SAID IBRAHIM airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"24,162",:,:
FR_FMCZ_KM_FMCV,DZAOUDZI airport - ANJOUAN/OUANI airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"29,133","27,256","29,391","20,368","21,978","21,333"
FR_FMCZ_MG_FMMI,DZAOUDZI airport - ANTANANARIVO/IVATO airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMCZ_MG_FMNM,DZAOUDZI airport - MAHAJANGA/PH. TSIRANANA airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"17,426","16,172","16,720","16,969","17,525","18,146"
FR_FMCZ_MG_FMNN,DZAOUDZI airport - NOSY-BE airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMEE_AU_YSSY,SAINT DENIS GILLOT airport - SYDNEY/SYDNEY (KINGSFORD SMITH) INTL airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"20,186",:,:,:,:,:,:,:,:,:
FR_FMEE_CN_ZGGG,SAINT DENIS GILLOT airport - GUANGZHOU/BAIYUN airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMEE_FR_FMCZ,SAINT DENIS GILLOT airport - DZAOUDZI airport,:,:,:,:,"54,496","63,930","69,603","80,160","95,147","103,234","110,076","122,810","112,033","101,838","113,974","116,543","146,046","154,079","153,058","135,008","154,230","158,421","171,516","153,896","153,487","167,340","167,444"
FR_FMEE_FR_FMEP,SAINT DENIS GILLOT airport - SAINT PIERRE PIERREFONDS airport,:,:,:,:,:,:,:,:,:,:,:,:,"23,780","26,956","27,633","30,014","32,614","24,219","20,280",:,:,:,:,:,:,:,:
FR_FMEE_FR_LF90,SAINT DENIS GILLOT airport - airport SYSTEM - PARIS airport,:,:,:,:,"660,770","695,736","731,660","810,466",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMEE_FR_LFBD,SAINT DENIS GILLOT airport - BORDEAUX-MERIGNAC airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"25,635","20,488",:,:,:,:,:,:,:
FR_FMEE_FR_LFBO,SAINT DENIS GILLOT airport - TOULOUSE/BLAGNAC airport,:,:,:,:,:,:,"22,132","30,629",:,:,:,:,"20,648","21,601","40,718","49,898","44,056","60,333","46,831","32,945",:,:,:,:,:,:,:
FR_FMEE_FR_LFLL,SAINT DENIS GILLOT airport - LYON SAINT-EXUPERY airport,:,:,:,:,"36,390","34,686","33,214","31,452",:,:,"28,315","39,966","40,721","45,838","57,483","65,501","64,094","78,295","68,405","41,512",:,:,:,:,:,:,:
FR_FMEE_FR_LFML,SAINT DENIS GILLOT airport - MARSEILLE-PROVENCE airport,:,:,:,:,"43,459","40,157","38,542","33,215",:,:,"22,674","25,236","44,884","54,791","60,495","67,247","63,792","81,879","76,610","64,703","47,769","42,281","43,560","33,039","41,902","84,532","77,490"
FR_FMEE_FR_LFPG,SAINT DENIS GILLOT airport - PARIS-CHARLES DE GAULLE airport,:,:,:,:,:,:,:,:,"106,941","167,121","140,178","222,869","231,758","185,605","204,219","202,265","284,868","311,627","295,969","280,441","429,484","434,513","442,621","457,689","430,859","401,659","389,458"
FR_FMEE_FR_LFPO,SAINT DENIS GILLOT airport - PARIS-ORLY airport,:,:,:,:,:,:,:,:,"707,628","673,538","698,621","667,906","595,789","465,360","533,168","546,609","526,839","532,459","666,658","693,813","680,266","674,434","693,188","697,294","802,544","949,388","981,339"
FR_FMEE_FR_LFRS,SAINT DENIS GILLOT airport - NANTES ATLANTIQUE airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"22,848","28,362","23,001",:,:,:,:,:,:,:
FR_FMEE_IN_VOMM,SAINT DENIS GILLOT airport - CHENNAI airport,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FR_FMEE_MG_FMMI,SAINT DENIS GILLOT airport - ANTANANARIVO/IVATO airport,:,:,:,"49,068","49,516","52,249","53,174","55,658","54,934","50,270","56,698","50,632","47,466","52,011","59,586","56,920","48,736","70,245","85,622","88,302","74,891","75,074","74,776","77,237","94,862","83,389","77,620"
